INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
214431183,06/20/2020,04:55:00,BRONX,48,0,MULTI DWELL - APT BUILD,false,,,,18-24,M,BLACK,1015742,247472,40.845880666000028,-73.886177944999986,POINT (-73.88617794499999 40.84588066600003)
209713053,02/18/2020,00:25:00,BRONX,50,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1009548,258693,40.876698837000049,-73.908522937999976,POINT (-73.90852293799998 40.87669883700005)
211362213,03/20/2020,21:27:00,BROOKLYN,81,0,,false,,,,25-44,M,BLACK,1001586,189839,40.687732210000036,-73.93749147799997,POINT (-73.93749147799997 40.687732210000036)
214690556,06/26/2020,00:30:00,MANHATTAN,13,0,,true,25-44,M,BLACK,18-24,F,WHITE HISPANIC,987583,210248,40.74376638800004,-73.987973245999967,POINT (-73.98797324599997 40.74376638800004)
209029422,02/04/2020,18:43:00,BROOKLYN,75,0,,true,18-24,F,BLACK,18-24,M,BLACK,1017108,182186,40.666682456000046,-73.88155977599996,POINT (-73.88155977599996 40.666682456000046)
213723897,05/29/2020,20:55:00,BROOKLYN,70,0,,false,,,,25-44,M,BLACK,994979,175573,40.648585690000061,-73.961337627999967,POINT (-73.96133762799997 40.64858569000006)
213819784,06/03/2020,07:15:00,BRONX,44,0,,true,,,,25-44,M,BLACK,1010606,245659,40.840921337000054,-73.904748420999965,POINT (-73.90474842099997 40.840921337000054)
213385783,05/21/2020,23:13:00,BRONX,52,0,,false,,,,18-24,M,BLACK HISPANIC,1015478,257490,40.873377987000026,-73.887085463999938,POINT (-73.88708546399994 40.873377987000026)
214184456,06/14/2020,23:10:00,MANHATTAN,33,0,,false,18-24,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1001859,246496,40.843240430000037,-73.936358680999945,POINT (-73.93635868099994 40.84324043000004)
210792605,03/10/2020,01:37:00,BRONX,43,0,,false,,,,18-24,M,BLACK,1020734,243826,40.835854255000072,-73.868154906999962,POINT (-73.86815490699996 40.83585425500007)
